#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2016-10-22 18:43::04.705

Frequency (Hz),Channel 2 (dB),Channel 2 (deg)
13537.074148296593,-0.81229377831374938,100.53033807314186
13583.166332665331,-0.75764455470825798,45.089206577764195
13629.258517034068,-0.69261335048546491,-10.346027042297663
13675.350701402805,-0.62260663706845798,-65.789677578333311
13721.442885771543,-0.56097377609686938,-121.2075805503766
13767.53507014028,-0.51326699181076563,-176.64625027397815
13813.627254509018,-0.49024349243643817,127.90805210328341
13859.719438877755,-0.50475355517812015,72.461622320757215
13905.811623246493,-0.56295420416357023,17.036497354600101
13951.90380761523,-0.6760148842737782,-38.410080179891622
13997.995991983968,-0.85309797991133141,-93.858207833499392
14044.088176352705,-1.101319768835485,-149.28522320545346
14090.180360721442,-1.4289487510587648,155.28978740130026
14136.27254509018,-1.8453849607677271,99.847900888308743
14182.364729458917,-2.3541023205586353,44.403109126645816
14228.456913827655,-2.9674500908431045,-11.039233803570909
14274.549098196392,-3.6853511037812194,-66.463855076199295
14320.64128256513,-4.5264074794215032,-121.89945572683388
14366.733466933867,-5.493827156037109,-177.33532162337949
14412.825651302604,-6.5981280166533409,127.21921751890659
14458.917835671342,-7.8493750134460951,71.761507877244497
14505.010020040079,-9.2607240155793651,16.322795360757212
14551.102204408817,-10.854338473818245,-39.108082243835852
14597.194388777556,-12.643780926565656,-94.553916557435599
14643.286573146293,-14.665180957777531,-149.98626109794907
14689.378757515031,-16.945734608823056,154.62283710204741
14735.470941883768,-19.548504490705049,99.142726837944082
14781.563126252506,-22.526113092587227,43.675598939774773
14827.655310621243,-25.983913353961324,-11.799481585274801
14873.747494989981,-30.161792260683544,-67.245778056839853
14919.839679358718,-35.311939852997433,-122.54779696063501
14965.931863727455,-42.569784296819662,-177.78338388467142
15012.024048096193,-56.551827657982003,131.03332143175314
15058.11623246493,-56.099150572612281,-111.96332236381255
15104.208416833668,-51.343901065791819,-163.20905007911534
15150.300601202405,-52.74836521428179,142.21839464907202
15196.392785571143,-58.041572505545872,83.18776992279146
15242.48496993988,-78.121729718708565,-154.98416454239765
15288.577154308618,-58.029996729797475,155.42272294176018
15334.669338677355,-53.211826772312314,100.97724823455118
15380.761523046092,-51.89844573859525,42.578739098048814
15426.85370741483,-51.881966260210575,-15.370317588702299
15472.945891783567,-53.317030151464969,-70.75560218553791
15519.038076152305,-56.968022558722311,-124.84582057547195
15565.130260521042,-66.166994966632203,-176.29642327984226
15611.22244488978,-66.215940886521295,-62.751005413487121
15657.314629258517,-56.255884256011171,-112.20375818671793
15703.406813627254,-53.035756081593512,-163.1111717208455
15749.498997995992,-51.727500230421754,141.01754547849075
15795.591182364729,-51.836908942243433,84.466863141944557
15841.683366733467,-52.851070578143613,28.40775972795393
15887.775551102204,-55.017437811545463,-33.700472755894609
15933.867735470942,-59.572915366509847,-85.157523786101024
15979.959919839679,-72.153330134800811,-136.23415395353186
16026.052104208416,-63.666441114325103,-18.630542552542963
16072.144288577154,-56.217382915933342,-71.761277047994867
16118.236472945891,-52.75284585826369,-124.33106411588255
16164.328657314629,-51.858304030090139,-178.13645002458105
16210.420841683366,-51.472561381873909,127.24646137688578
16256.513026052104,-52.578583136386342,69.129188051523357
16302.605210420841,-54.029336440572962,13.719054587210181
16348.697394789579,-57.66523329716091,-44.200090761347695
16394.789579158318,-65.384511877087462,-89.370628029686472
16440.881763527053,-74.807759206368075,42.991508649329162
16486.973947895793,-59.113597532929845,-29.743072569613247
16533.066132264528,-54.749664534165241,-83.721294953647558
16579.158316633268,-52.651246457019738,-137.85402313188126
16625.250501002003,-51.674469983466189,167.38937240488144
16671.342685370742,-51.79221192622483,111.44386174236683
16717.434869739478,-52.594802316161633,56.169172456343588
16763.527054108217,-54.552680838874025,0.26935638504727422
16809.619238476953,-58.013458534964542,-56.498205338752648
16855.711422845692,-65.973440715642568,-111.92493658035679
16901.803607214428,-73.782998848228374,5.0518056901985844
16947.895791583167,-59.192209785729126,-44.926233339230627
16993.987975951903,-54.91820226367274,-98.49012910546314
17040.080160320642,-52.454133870144076,-152.99877791234547
17086.172344689377,-51.554624342520846,152.57035430107467
17132.264529058117,-51.660758671986009,96.221402986719482
17178.356713426852,-52.509776555799206,41.773047224803776
17224.448897795592,-54.30471830466626,-16.985780254703858
17270.541082164327,-57.164810843498131,-68.012947602373558
17316.633266533066,-62.955013987100109,-128.18164237653644
17362.725450901802,-82.63735707750682,8.2997826883841981
17408.817635270541,-61.4080991737559,-60.017426012926705
17454.909819639277,-55.867453682133437,-111.84471340402933
17501.002004008016,-53.232883615861596,-166.64567321769943
17547.094188376752,-51.943878526607456,138.1477503574406
17593.186372745491,-51.606161436635894,83.009212404557871
17639.278557114227,-52.087342273648574,27.487366998423639
17685.370741482966,-53.144412747057416,-31.582327418880453
17731.462925851705,-55.368915936278157,-86.347287432547034
17777.555110220441,-59.112919080535491,-137.36250869470868
17823.64729458918,-67.651033758910231,172.80596609650632
17869.739478957916,-66.203057293760807,-81.095104132591615
17915.831663326655,-58.317695330757495,-127.19041291260908
17961.923847695391,-54.871647781158643,-179.82451284629653
18008.01603206413,-52.967230160550685,124.4062261882039
18054.108216432865,-52.053431888192478,67.566368481602566
18100.200400801605,-51.825959716962039,11.350590126994177
18146.29258517034,-52.084690861427958,-45.838367529752901
18192.38476953908,-53.294961328932146,-100.65610740186659
18238.476953907815,-55.651155011476298,-153.03544291183306
18284.569138276554,-60.244014655436587,152.00918586910154
18330.66132264529,-73.015065576102984,112.79889404150839
18376.753507014029,-65.411374735308002,-142.4708916946135
18422.845691382765,-57.938791304920827,164.71729252994257
18468.937875751504,-55.22023787378636,110.37349139119839
18515.03006012024,-53.049306144219535,53.689548917676333
18561.122244488979,-52.047671107838177,-3.2120034019866353
18607.214428857715,-51.615032643503319,-59.166820169303314
18653.306613226454,-51.795476579315384,-113.93132888592203
18699.39879759519,-52.817946839132468,-166.8904038131223
18745.490981963929,-55.098988472765171,137.12539870066732
18791.583166332664,-58.877768011618272,83.83288433031457
18837.675350701404,-67.036649161755136,25.290029133478399
18883.767535070139,-72.45085640654672,163.38359379920962
18929.859719438879,-61.648880949628023,100.3827046658119
18975.951903807614,-57.298893749831656,42.685864175019994
19022.044088176353,-54.279653068971747,-17.656091286275618
19068.136272545089,-52.698197357628921,-73.10499649022745
19114.228456913828,-51.395344892010264,-128.22130273393407
19160.320641282564,-51.352479933863421,176.5161993366097
19206.412825651303,-51.983245399623712,123.18612121092401
19252.505010020039,-53.322304131831643,68.222961076884573
19298.597194388778,-55.534128250900785,10.165762558996931
19344.689378757514,-58.543834109597526,-48.767504749971614
19390.781563126253,-64.563210736462295,-103.87698967624138
19436.873747494988,-90.450785756786459,-164.18806476380115
19482.965931863728,-64.222613261765702,-35.297645771736242
19529.058116232463,-57.86449917274404,-87.528519802527285
19575.150300601203,-54.687250439828986,-141.20930202462722
19621.242484969938,-53.197896001962668,164.56025249175391
19667.334669338677,-52.03710376962168,107.37788838288604
19713.426853707413,-51.658560567890625,52.636549748482949
19759.519038076152,-52.030790155873078,-5.7184651928890275
19805.611222444888,-52.08390290148445,-60.044571763116053
19851.703406813627,-53.047758657585575,-114.28520716908947
19897.795591182366,-55.060775134054317,-168.68204295067505
19943.887775551102,-57.809902868583819,136.50792832387083
19989.979959919841,-64.642059382498502,88.543994291274089
20036.072144288577,-88.653997431482125,-167.93126245489324
20082.164328657316,-66.313012215717762,153.32264815104037
20128.256513026052,-59.016175463766295,97.832409857367566
20174.348697394791,-56.286456324216395,35.904413366220197
20220.440881763527,-54.193146765656351,-19.758899213543259
20266.533066132266,-52.20360291391512,-76.672032414646822
20312.625250501002,-51.355179374331463,-129.21969442958482
20358.717434869741,-51.435452105260268,177.13414520354789
20404.809619238476,-51.981427591024811,121.27899622762948
20450.901803607216,-53.481411503769756,64.399894707062671
20496.993987975951,-54.938787108719779,6.6659354905287245
20543.086172344691,-57.340710548127085,-50.539810768686991
20589.178356713426,-62.878543630320124,-105.64205679346199
20635.270541082165,-77.600270428713017,-163.73148746832959
20681.362725450901,-65.479556021666511,-37.42495993927065
20727.45490981964,-58.09047104564462,-88.664491366931571
20773.547094188376,-54.982799648348234,-144.26513477315314
20819.639278557115,-53.337959037846595,161.97520383085927
20865.731462925851,-52.209245832268586,106.24399481234218
20911.82364729459,-51.999121922633542,49.425483432877002
20957.915831663326,-52.156444127812883,-5.9509756419647744
21004.008016032065,-52.502993277925015,-61.986113381842891
21050.100200400801,-53.875065459759448,-117.71570095997906
21096.19238476954,-56.405731907325382,-171.97047027363735
21142.284569138275,-61.273656088979607,138.64473359439586
21188.376753507015,-74.191925156774658,94.382028124021758
21234.46893787575,-67.312835625206304,-159.95154589236245
21280.56112224449,-58.825971068076015,150.24567412353676
21326.653306613225,-55.634876515252579,90.686787224715104
21372.745490981964,-53.630043221901133,35.601188521617814
21418.8376753507,-52.368736723923284,-20.100762431380986
21464.929859719439,-51.633822507096333,-78.353283302694948
21511.022044088175,-52.013569712188755,-131.31724322939226
21557.114228456914,-52.847449655209488,174.32435025549904
21603.20641282565,-54.98326807281569,120.88941046559535
21649.298597194389,-58.576230118744299,65.511681595419006
21695.390781563125,-65.7980521403246,0.85670988594426412
21741.482965931864,-78.351338139086906,132.1661861722103
21787.575150300599,-63.415396713338893,81.74998860913459
21833.667334669339,-57.666692644874495,18.488044484488327
21879.759519038074,-54.392069882960065,-36.314838168542352
21925.851703406814,-52.844064852466857,-92.292636100358692
21971.943887775553,-52.091425741983493,-144.90398552423443
22018.036072144288,-52.520768222589105,159.52620745961113
22064.128256513028,-53.518854842532214,107.91670125006351
22110.220440881763,-55.39751092792369,48.345172211321625
22156.312625250503,-57.81068898098048,-7.3194202411902864
22202.404809619238,-64.231061511713747,-69.907565410673357
22248.496993987977,-78.661598279119772,-137.66767772879973
22294.589178356713,-65.439081494180087,-1.0051243652679602
22340.681362725452,-58.322395374761392,-53.815862180862879
22386.773547094188,-55.953613887564757,-110.02640450890186
22432.865731462927,-54.476059744135526,-159.89670223370757
22478.957915831663,-54.416957692743964,144.80871512641369
22525.050100200402,-54.728909983644819,94.047117835700078
22571.142284569138,-53.913698383693074,30.437603608434458
22617.234468937877,-55.778297614604611,-27.760326554684362
22663.326653306613,-58.383214433190808,-86.552116655015396
22709.418837675352,-66.599604718756993,-146.5053062426058
22755.511022044087,-82.995522163024106,151.7243041851894
22801.603206412827,-64.73477327792078,-63.014924395674484
22847.695390781562,-58.131712406632943,-115.76645359628907
22893.787575150302,-56.845634087063537,174.90996303614904
22939.879759519037,-57.923789730717921,131.66539892282384
22985.971943887776,-53.783675551928937,73.790920741033631
23032.064128256512,-58.228335125388682,32.266960491447634
23078.156312625251,-60.065227381386613,-34.153462861854308
23124.248496993987,-59.369471820790338,-79.392952786077018
23170.340681362726,-60.21060243368639,-159.45725136073366
23216.432865731462,-67.766172523984324,157.00943754401953
23262.525050100201,-73.502966646005007,-126.85871264181068
23308.617234468937,-70.828946646841615,-133.85668070291763
23354.709418837676,-63.281927729494676,-165.45349323200924
23400.801603206412,-64.297187662841765,140.46963357575862
23446.893787575151,-63.536394090070132,83.524049175167463
23492.985971943886,-55.290982962129654,-4.3330923292362229
23539.078156312626,-56.446769306993659,-72.412802760795699
23585.170340681361,-56.803437331006059,-99.246255263816423
23631.262525050101,-69.568784361105216,-125.87788848559255
23677.354709418836,-62.761715721486937,137.07120473011446
23723.446893787575,-83.586385940056459,92.569919516185479
23769.539078156311,-75.567339865208339,-106.35048010890289
23815.63126252505,-71.933472345765153,-155.93234615782433
23861.723446893786,-66.155209785752618,155.95863666535126
23907.815631262525,-75.567657051910544,-8.8758224313568945
23953.907815631261,-65.64733623325877,52.61900409336306
24000,-93.519039272016457,-140.18261458070981
